,Job_Step_1,Job_Step_2,Job_1,Job_2,Cost
0,01-01-01-01-01,01-01-01-01-02,SN,SN,0.0
1,01-01-01-01-01,01-01-01-01-03,SN,SN,50.0
2,01-01-01-01-01,01-01-01-01-04,SN,SN,100.0
3,01-01-01-01-01,01-01-01-01-05,SN,SN,150.0
4,01-01-01-01-01,01-01-01-01-06,SN,SN,200.0
5,01-01-01-01-01,01-01-01-01-07,SN,SN,250.0
6,01-01-01-01-01,01-01-01-01-08,SN,SN,300.0
7,01-01-01-01-01,01-01-01-01-09,SN,SN,350.0
8,01-01-01-01-01,01-01-01-01-10,SN,SN,400.0
9,01-01-01-01-01,01-01-01-02-01,SN,SN,102.319438302546
10,01-01-01-01-01,01-01-01-02-02,SN,SN,52.319438302545606
11,01-01-01-01-01,01-01-01-02-03,SN,SN,102.319438302546
12,01-01-01-01-01,01-01-01-02-04,SN,SN,152.31943830254602
13,01-01-01-01-01,01-01-01-02-05,SN,SN,202.31943830254602
14,01-01-01-01-01,01-01-01-02-06,SN,SN,252.31943830254602
15,01-01-01-01-01,01-01-01-02-07,SN,SN,302.319438302546
16,01-01-01-01-01,01-01-01-02-08,SN,SN,352.319438302546
17,01-01-01-01-01,01-01-01-02-09,SN,SN,402.319438302546
18,01-01-01-01-01,01-01-01-02-10,SN,SN,452.319438302546
19,01-01-01-01-01,01-01-01-03-01,SN,SN,154.638876605091
20,01-01-01-01-01,01-01-01-03-02,SN,SN,104.638876605091
21,01-01-01-01-01,01-01-01-03-03,SN,SN,154.638876605091
22,01-01-01-01-01,01-01-01-03-04,SN,SN,204.638876605091
23,01-01-01-01-01,01-01-01-03-05,SN,SN,254.638876605091
24,01-01-01-01-01,01-01-01-03-06,SN,SN,304.638876605091
25,01-01-01-01-01,01-01-01-03-07,SN,SN,354.638876605091
26,01-01-01-01-01,01-01-01-03-08,SN,SN,404.638876605091
27,01-01-01-01-01,01-01-01-03-09,SN,SN,454.638876605091
28,01-01-01-01-01,01-01-01-03-10,SN,SN,504.638876605091
29,01-01-01-01-01,01-01-01-04-01,SN,SN,206.95831490763698
30,01-01-01-01-01,01-01-01-04-02,SN,SN,156.958314907637
31,01-01-01-01-01,01-01-01-04-03,SN,SN,206.95831490763698
32,01-01-01-01-01,01-01-01-04-04,SN,SN,256.958314907637
33,01-01-01-01-01,01-01-01-04-05,SN,SN,306.958314907637
34,01-01-01-01-01,01-01-01-04-06,SN,SN,356.95831490763703
35,01-01-01-01-01,01-01-01-04-07,SN,SN,406.95831490763703
36,01-01-01-01-01,01-01-01-04-08,SN,SN,456.95831490763703
37,01-01-01-01-01,01-01-01-04-09,SN,SN,506.95831490763703
38,01-01-01-01-01,01-01-01-04-10,SN,SN,556.958314907637
39,01-01-01-01-01,01-01-02-01-01,SN,SN,500.0
40,01-01-01-01-01,01-01-02-01-02,SN,SN,550.0
41,01-01-01-01-01,01-01-02-01-03,SN,SN,600.0
42,01-01-01-01-01,01-01-02-01-04,SN,SN,650.0
43,01-01-01-01-01,01-01-02-01-05,SN,SN,700.0
44,01-01-01-01-01,01-01-02-01-06,SN,SN,750.0
45,01-01-01-01-01,01-01-02-01-07,SN,SN,800.0
46,01-01-01-01-01,01-01-02-01-08,SN,SN,850.0
47,01-01-01-01-01,01-01-02-01-09,SN,SN,900.0
48,01-01-01-01-01,01-01-02-01-10,SN,SN,950.0
49,01-01-01-01-01,01-01-02-02-01,SN,SN,552.319438302546
50,01-01-01-01-01,01-01-02-02-02,SN,SN,602.319438302546
51,01-01-01-01-01,01-01-02-02-03,SN,SN,652.319438302546
52,01-01-01-01-01,01-01-02-02-04,SN,SN,702.3194383025459
53,01-01-01-01-01,01-01-02-02-05,SN,SN,752.3194383025459
54,01-01-01-01-01,01-01-02-02-06,SN,SN,802.3194383025459
55,01-01-01-01-01,01-01-02-02-07,SN,SN,852.3194383025459
56,01-01-01-01-01,01-01-02-02-08,SN,SN,902.3194383025459
57,01-01-01-01-01,01-01-02-02-09,SN,SN,952.3194383025459
58,01-01-01-01-01,01-01-02-02-10,SN,SN,1002.31943830255
59,01-01-01-01-01,01-01-02-03-01,SN,SN,604.638876605091
60,01-01-01-01-01,01-01-02-03-02,SN,SN,654.638876605091
61,01-01-01-01-01,01-01-02-03-03,SN,SN,704.6388766050909
62,01-01-01-01-01,01-01-02-03-04,SN,SN,754.6388766050909
63,01-01-01-01-01,01-01-02-03-05,SN,SN,804.6388766050909
64,01-01-01-01-01,01-01-02-03-06,SN,SN,854.6388766050909
65,01-01-01-01-01,01-01-02-03-07,SN,SN,904.6388766050909
66,01-01-01-01-01,01-01-02-03-08,SN,SN,954.6388766050909
67,01-01-01-01-01,01-01-02-03-09,SN,SN,1004.63887660509
68,01-01-01-01-01,01-01-02-03-10,SN,SN,1054.63887660509
69,01-01-01-01-01,01-01-02-04-01,SN,SN,656.958314907637
70,01-01-01-01-01,01-01-02-04-02,SN,SN,706.958314907637
71,01-01-01-01-01,01-01-02-04-03,SN,SN,756.958314907637
72,01-01-01-01-01,01-01-02-04-04,SN,SN,806.958314907637
73,01-01-01-01-01,01-01-02-04-05,SN,SN,856.958314907637
74,01-01-01-01-01,01-01-02-04-06,SN,SN,906.958314907637
75,01-01-01-01-01,01-01-02-04-07,SN,SN,956.958314907637
76,01-01-01-01-01,01-01-02-04-08,SN,SN,1006.9583149076401
77,01-01-01-01-01,01-01-02-04-09,SN,SN,1056.95831490764
78,01-01-01-01-01,01-01-02-04-10,SN,SN,1106.95831490764
79,01-01-01-01-02,01-01-01-01-01,SN,SN,100.0
80,01-01-01-01-02,01-01-01-01-03,SN,SN,0.0
81,01-01-01-01-02,01-01-01-01-04,SN,SN,50.0
82,01-01-01-01-02,01-01-01-01-05,SN,SN,100.0
83,01-01-01-01-02,01-01-01-01-06,SN,SN,150.0
84,01-01-01-01-02,01-01-01-01-07,SN,SN,200.0
85,01-01-01-01-02,01-01-01-01-08,SN,SN,250.0
86,01-01-01-01-02,01-01-01-01-09,SN,SN,300.0
87,01-01-01-01-02,01-01-01-01-10,SN,SN,350.0
88,01-01-01-01-02,01-01-01-02-01,SN,SN,152.31943830254602
89,01-01-01-01-02,01-01-01-02-02,SN,SN,102.319438302546
90,01-01-01-01-02,01-01-01-02-03,SN,SN,52.319438302545606
91,01-01-01-01-02,01-01-01-02-04,SN,SN,102.319438302546
92,01-01-01-01-02,01-01-01-02-05,SN,SN,152.31943830254602
93,01-01-01-01-02,01-01-01-02-06,SN,SN,202.31943830254602
94,01-01-01-01-02,01-01-01-02-07,SN,SN,252.31943830254602
95,01-01-01-01-02,01-01-01-02-08,SN,SN,302.319438302546
96,01-01-01-01-02,01-01-01-02-09,SN,SN,352.319438302546
97,01-01-01-01-02,01-01-01-02-10,SN,SN,402.319438302546
98,01-01-01-01-02,01-01-01-03-01,SN,SN,204.638876605091
99,01-01-01-01-02,01-01-01-03-02,SN,SN,154.638876605091
100,01-01-01-01-02,01-01-01-03-03,SN,SN,104.638876605091
101,01-01-01-01-02,01-01-01-03-04,SN,SN,154.638876605091
102,01-01-01-01-02,01-01-01-03-05,SN,SN,204.638876605091
103,01-01-01-01-02,01-01-01-03-06,SN,SN,254.638876605091
104,01-01-01-01-02,01-01-01-03-07,SN,SN,304.638876605091
105,01-01-01-01-02,01-01-01-03-08,SN,SN,354.638876605091
106,01-01-01-01-02,01-01-01-03-09,SN,SN,404.638876605091
107,01-01-01-01-02,01-01-01-03-10,SN,SN,454.638876605091
108,01-01-01-01-02,01-01-01-04-01,SN,SN,256.958314907637
109,01-01-01-01-02,01-01-01-04-02,SN,SN,206.95831490763698
110,01-01-01-01-02,01-01-01-04-03,SN,SN,156.958314907637
111,01-01-01-01-02,01-01-01-04-04,SN,SN,206.95831490763698
112,01-01-01-01-02,01-01-01-04-05,SN,SN,256.958314907637
113,01-01-01-01-02,01-01-01-04-06,SN,SN,306.958314907637
114,01-01-01-01-02,01-01-01-04-07,SN,SN,356.95831490763703
115,01-01-01-01-02,01-01-01-04-08,SN,SN,406.95831490763703
116,01-01-01-01-02,01-01-01-04-09,SN,SN,456.95831490763703
117,01-01-01-01-02,01-01-01-04-10,SN,SN,506.95831490763703
118,01-01-01-01-02,01-01-02-01-01,SN,SN,450.0
119,01-01-01-01-02,01-01-02-01-02,SN,SN,500.0
120,01-01-01-01-02,01-01-02-01-03,SN,SN,550.0
121,01-01-01-01-02,01-01-02-01-04,SN,SN,600.0
122,01-01-01-01-02,01-01-02-01-05,SN,SN,650.0
