,Job_Step_1,Job_Step_2,Job_1,Job_2,Cost
0,01-01-01-01-01,01-01-01-01-02,NS,NS,100.0
1,01-01-01-01-01,01-01-01-01-03,NS,NS,150.0
2,01-01-01-01-01,01-01-01-01-04,NS,NS,200.0
3,01-01-01-01-01,01-01-01-01-05,NS,NS,250.0
4,01-01-01-01-01,01-01-01-01-06,NS,NS,300.0
5,01-01-01-01-01,01-01-01-01-07,NS,NS,350.0
6,01-01-01-01-01,01-01-01-01-08,NS,NS,400.0
7,01-01-01-01-01,01-01-01-01-09,NS,NS,450.0
8,01-01-01-01-01,01-01-01-01-10,NS,NS,500.0
9,01-01-01-01-01,01-01-01-02-01,NS,NS,102.319438302546
10,01-01-01-01-01,01-01-01-02-02,NS,NS,152.31943830254602
11,01-01-01-01-01,01-01-01-02-03,NS,NS,202.31943830254602
12,01-01-01-01-01,01-01-01-02-04,NS,NS,252.31943830254602
13,01-01-01-01-01,01-01-01-02-05,NS,NS,302.319438302546
14,01-01-01-01-01,01-01-01-02-06,NS,NS,352.319438302546
15,01-01-01-01-01,01-01-01-02-07,NS,NS,402.319438302546
16,01-01-01-01-01,01-01-01-02-08,NS,NS,452.319438302546
17,01-01-01-01-01,01-01-01-02-09,NS,NS,502.319438302546
18,01-01-01-01-01,01-01-01-02-10,NS,NS,552.319438302546
19,01-01-01-01-01,01-01-01-03-01,NS,NS,154.638876605091
20,01-01-01-01-01,01-01-01-03-02,NS,NS,204.638876605091
21,01-01-01-01-01,01-01-01-03-03,NS,NS,254.638876605091
22,01-01-01-01-01,01-01-01-03-04,NS,NS,304.638876605091
23,01-01-01-01-01,01-01-01-03-05,NS,NS,354.638876605091
24,01-01-01-01-01,01-01-01-03-06,NS,NS,404.638876605091
25,01-01-01-01-01,01-01-01-03-07,NS,NS,454.638876605091
26,01-01-01-01-01,01-01-01-03-08,NS,NS,504.638876605091
27,01-01-01-01-01,01-01-01-03-09,NS,NS,554.638876605091
28,01-01-01-01-01,01-01-01-03-10,NS,NS,604.638876605091
29,01-01-01-01-01,01-01-01-04-01,NS,NS,206.95831490763698
30,01-01-01-01-01,01-01-01-04-02,NS,NS,256.958314907637
31,01-01-01-01-01,01-01-01-04-03,NS,NS,306.958314907637
32,01-01-01-01-01,01-01-01-04-04,NS,NS,356.95831490763703
33,01-01-01-01-01,01-01-01-04-05,NS,NS,406.95831490763703
34,01-01-01-01-01,01-01-01-04-06,NS,NS,456.95831490763703
35,01-01-01-01-01,01-01-01-04-07,NS,NS,506.95831490763703
36,01-01-01-01-01,01-01-01-04-08,NS,NS,556.958314907637
37,01-01-01-01-01,01-01-01-04-09,NS,NS,606.958314907637
38,01-01-01-01-01,01-01-01-04-10,NS,NS,656.958314907637
