,Job_Step_1,Job_Step_2,Job
0,01-01-01-01-01,01-01-01-01-02,SN
1,01-01-01-01-01,01-01-01-02-01,SN
2,01-01-01-01-02,01-01-01-01-03,SN
3,01-01-01-01-02,01-01-01-02-02,SN
4,01-01-01-01-03,01-01-01-01-04,SN
5,01-01-01-01-03,01-01-01-02-03,SN
6,01-01-01-01-04,01-01-01-01-05,SN
7,01-01-01-01-04,01-01-01-02-04,SN
8,01-01-01-01-05,01-01-01-01-06,SN
9,01-01-01-01-05,01-01-01-02-05,SN
10,01-01-01-01-06,01-01-01-01-07,SN
11,01-01-01-01-06,01-01-01-02-06,SN
12,01-01-01-01-07,01-01-01-01-08,SN
13,01-01-01-01-07,01-01-01-02-07,SN
14,01-01-01-01-08,01-01-01-01-09,SN
15,01-01-01-01-08,01-01-01-02-08,SN
16,01-01-01-01-09,01-01-01-01-10,SN
17,01-01-01-01-09,01-01-01-02-09,SN
18,01-01-01-01-10,01-01-01-02-10,SN
19,01-01-01-02-01,01-01-01-02-02,SN
20,01-01-01-02-01,01-01-01-03-01,SN
21,01-01-01-02-02,01-01-01-02-03,SN
22,01-01-01-02-02,01-01-01-03-02,SN
23,01-01-01-02-03,01-01-01-02-04,SN
24,01-01-01-02-03,01-01-01-03-03,SN
25,01-01-01-02-04,01-01-01-02-05,SN
26,01-01-01-02-04,01-01-01-03-04,SN
27,01-01-01-02-05,01-01-01-02-06,SN
28,01-01-01-02-05,01-01-01-03-05,SN
29,01-01-01-02-06,01-01-01-02-07,SN
30,01-01-01-02-06,01-01-01-03-06,SN
31,01-01-01-02-07,01-01-01-02-08,SN
32,01-01-01-02-07,01-01-01-03-07,SN
33,01-01-01-02-08,01-01-01-02-09,SN
34,01-01-01-02-08,01-01-01-03-08,SN
35,01-01-01-02-09,01-01-01-02-10,SN
36,01-01-01-02-09,01-01-01-03-09,SN
37,01-01-01-02-10,01-01-01-03-10,SN
38,01-01-01-03-01,01-01-01-03-02,SN
39,01-01-01-03-01,01-01-01-04-01,SN
40,01-01-01-03-02,01-01-01-03-03,SN
41,01-01-01-03-02,01-01-01-04-02,SN
42,01-01-01-03-03,01-01-01-03-04,SN
43,01-01-01-03-03,01-01-01-04-03,SN
44,01-01-01-03-04,01-01-01-03-05,SN
45,01-01-01-03-04,01-01-01-04-04,SN
46,01-01-01-03-05,01-01-01-03-06,SN
47,01-01-01-03-05,01-01-01-04-05,SN
48,01-01-01-03-06,01-01-01-03-07,SN
49,01-01-01-03-06,01-01-01-04-06,SN
50,01-01-01-03-07,01-01-01-03-08,SN
51,01-01-01-03-07,01-01-01-04-07,SN
52,01-01-01-03-08,01-01-01-03-09,SN
53,01-01-01-03-08,01-01-01-04-08,SN
54,01-01-01-03-09,01-01-01-03-10,SN
55,01-01-01-03-09,01-01-01-04-09,SN
56,01-01-01-03-10,01-01-01-04-10,SN
57,01-01-01-04-01,01-01-01-04-02,SN
58,01-01-01-04-02,01-01-01-04-03,SN
59,01-01-01-04-03,01-01-01-04-04,SN
60,01-01-01-04-04,01-01-01-04-05,SN
61,01-01-01-04-05,01-01-01-04-06,SN
62,01-01-01-04-06,01-01-01-04-07,SN
63,01-01-01-04-07,01-01-01-04-08,SN
64,01-01-01-04-08,01-01-01-04-09,SN
65,01-01-01-04-09,01-01-01-04-10,SN
