Tonnage,Product_Description
252250,F
127627,F
116600,F
209806,F
146816,F
199932,F
206538,F
237666,F
289233,F
250032,F
241876,F
237972,F
210766,F
134523,F
110354,F
115308,F
298861,F
135948,F
272768,F
294274,F
243135,F
106256,F
172292,F
188043,F
136409,F
282366,F
199041,F
169695,F
112654,F
141174,F
176294,F
235127,F
226334,F
169657,F
271455,F
118637,F
228245,F
153414,F
282051,F
166286,F
105873,F
119921,F
130177,F
211961,F
169884,F
162380,F
205094,F
218972,F
115074,F
177530,F
175979,F
197273,F
108484,F
248959,F
146743,F
266613,F
204153,F
279659,F
269411,F
121266,F
119668,F
185001,F
124720,F
182322,F
116537,F
251541,F
188924,F
