,cut,direction,obj,Al2O3,Fe,Mn,P,S,SiO2,tonnage
0,01-01-01-01-01,SN,1.3333333333333326,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
1,01-01-01-01-02,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
2,01-01-01-01-03,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
3,01-01-01-01-04,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
4,01-01-01-01-05,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
5,01-01-01-01-06,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
6,01-01-01-01-07,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
7,01-01-01-01-08,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
8,01-01-01-01-09,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
9,01-01-03-01-01,SN,2.67066,2.2846148433509903,62.4871952008494,0.0961147317679018,0.117892264709406,0.0185229687195104,3.83570795638111,486.044432726873
10,01-01-01-01-10,SN,2.848301,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
11,01-01-01-02-01,SN,1.352208,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
12,01-01-01-03-01,SN,0.804879,2.35386301065751,61.4897839041652,0.114337888428197,0.0789170204987782,0.0239515971526089,4.109253352843241,3038.811079176229
13,01-01-01-04-01,SN,0.687247,2.35293466678094,61.4051259390726,0.105866055462022,0.0769542694449907,0.0222352520048032,4.3546211152152,4971.811008087821
14,01-01-03-02-01,SN,1.699961,2.21175675073436,62.615259485648004,0.101388955903044,0.115198592193104,0.0170072923591019,3.87106398810021,1649.5757483272305
15,01-01-03-03-01,SN,0.803217,2.11602265729193,62.7806284079793,0.0985325711653734,0.114241522044251,0.0159106213460679,3.89762597684591,3196.57494526831
16,01-01-01-02-02,SN,0.841474,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
17,01-01-01-02-03,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
18,01-01-01-02-04,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
19,01-01-01-02-05,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
20,01-01-01-02-06,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
21,01-01-01-02-07,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
22,01-01-03-04-01,SN,0.83008,2.03139453392221,63.007739956600396,0.0916607678196063,0.117576871517176,0.0147377072651498,3.79999767452663,5229.92910285523
23,01-01-01-02-08,SN,0.768077,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
24,01-01-01-02-09,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
25,01-01-01-02-10,SN,1.0,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
26,01-01-03-01-02,SN,1.131949,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
27,01-01-03-01-03,SN,0.666667,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
28,01-01-01-03-02,SN,0.652695,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
29,01-01-02-01-01,SN,2.506989,2.64377460067266,63.062549893856,0.032608910817055,0.101828463627706,0.0204813108274598,3.92563591326802,472.57382165281194
30,01-01-03-02-02,SN,0.66968,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
31,01-01-01-04-02,SN,0.527862,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
32,01-01-03-02-03,SN,0.839359,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
33,01-01-03-01-04,SN,0.701328,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
34,01-01-01-03-03,SN,0.652695,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
35,01-01-02-01-02,SN,1.044586,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
36,01-01-03-03-02,SN,0.504114,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
37,01-01-01-03-04,SN,0.600855,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
38,01-01-02-01-03,SN,1.044586,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
39,01-01-03-03-03,SN,0.504114,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
40,01-01-02-02-01,SN,1.469069,2.42592669134829,62.991775151685104,0.0381678362746606,0.109988271988984,0.0173676569620244,3.79123340205001,1603.85813107513
41,01-01-01-03-05,SN,0.47918,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
42,01-01-03-04-02,SN,0.473701,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
43,01-01-02-01-04,SN,1.114304,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
44,01-01-02-01-05,SN,0.666667,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
45,01-01-03-04-03,SN,0.415427,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
46,01-01-01-04-03,SN,0.511638,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
47,01-01-02-03-01,SN,0.916743,2.26450319309212,63.103173583006495,0.0403123951524418,0.115689375218125,0.0155564334635409,3.66365277749116,3107.98259659102
48,01-01-02-04-01,SN,0.686789,2.23879838203593,63.0367862803176,0.0418195695886801,0.112557808051865,0.0150889491307414,3.90146093290322,5084.98280546792
49,01-01-01-04-04,SN,0.403105,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
50,01-01-03-02-04,SN,0.825274,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
51,01-01-02-02-02,SN,0.702818,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
52,01-01-01-04-05,SN,0.419329,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
53,01-01-03-03-04,SN,0.590754,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
54,01-01-03-04-04,SN,0.348415,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
55,01-01-01-03-06,SN,0.611507,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
56,01-01-02-03-02,SN,0.446811,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
57,01-01-02-04-02,SN,0.348845,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
58,01-01-01-03-07,SN,0.469001,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
59,01-01-02-01-06,SN,1.044586,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
60,01-01-03-01-05,SN,0.964789,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
