,cut,direction,obj,Al2O3,Fe,Mn,P,S,SiO2,tonnage
0,01-01-01-01-01,SN,1.3333333333333326,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
1,01-01-01-01-02,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
2,01-01-03-01-02,SN,1.362285,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
3,01-01-03-01-01,SN,1.539076,2.2846148433509903,62.4871952008494,0.0961147317679018,0.117892264709406,0.0185229687195104,3.83570795638111,486.044432726873
4,01-01-01-01-03,SN,1.398399,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
5,01-01-01-01-04,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
6,01-01-02-01-01,SN,2.073958,2.64377460067266,63.062549893856,0.032608910817055,0.101828463627706,0.0204813108274598,3.92563591326802,472.57382165281194
7,01-01-01-01-05,SN,0.945422,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
8,01-01-01-01-06,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
9,01-01-02-01-02,SN,0.87108,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
10,01-01-02-03-01,SN,0.837051,2.26450319309212,63.103173583006495,0.0403123951524418,0.115689375218125,0.0155564334635409,3.66365277749116,3107.98259659102
11,01-01-02-02-01,SN,1.063796,2.42592669134829,62.991775151685104,0.0381678362746606,0.109988271988984,0.0173676569620244,3.79123340205001,1603.85813107513
12,01-01-01-01-07,SN,0.912194,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
13,01-01-02-04-01,SN,0.736865,2.23879838203593,63.0367862803176,0.0418195695886801,0.112557808051865,0.0150889491307414,3.90146093290322,5084.98280546792
14,01-01-01-01-08,SN,0.950271,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
15,01-01-03-01-03,SN,1.196662,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
16,01-01-02-02-02,SN,0.70349,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
17,01-01-01-01-09,SN,0.87735,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
18,01-01-02-03-02,SN,0.437782,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
19,01-01-02-04-02,SN,0.348845,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
20,01-01-02-01-03,SN,0.773615,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
21,01-01-03-01-04,SN,1.031038,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
22,01-01-01-02-02,SN,0.885924,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
23,01-01-01-02-01,SN,1.063769,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
24,01-01-02-01-04,SN,1.145212,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
25,01-01-01-03-01,SN,1.052449,2.35386301065751,61.4897839041652,0.114337888428197,0.0789170204987782,0.0239515971526089,4.109253352843241,3038.811079176229
26,01-01-02-03-03,SN,0.506526,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
27,01-01-02-02-03,SN,0.529646,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
28,01-01-01-02-03,SN,0.677802,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
29,01-01-03-02-01,SN,1.575906,2.21175675073436,62.615259485648004,0.101388955903044,0.115198592193104,0.0170072923591019,3.87106398810021,1649.5757483272305
30,01-01-04-01-01,SN,2.45953,2.7411110353095496,61.7085376458031,0.0672976756146027,0.13134526231359,0.0146585114313877,4.31399178787521,490.429040952256
31,01-01-01-02-04,SN,0.974825,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
32,01-01-03-02-02,SN,0.767625,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
33,01-01-01-02-05,SN,0.796336,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
34,01-01-01-02-06,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
35,01-01-02-01-05,SN,1.008936,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
36,01-01-03-03-01,SN,0.897793,2.11602265729193,62.7806284079793,0.0985325711653734,0.114241522044251,0.0159106213460679,3.89762597684591,3196.57494526831
37,01-01-01-04-01,SN,0.908494,2.35293466678094,61.4051259390726,0.105866055462022,0.0769542694449907,0.0222352520048032,4.3546211152152,4971.811008087821
38,01-01-03-04-01,SN,0.867434,2.03139453392221,63.007739956600396,0.0916607678196063,0.117576871517176,0.0147377072651498,3.79999767452663,5229.92910285523
39,01-01-04-02-01,SN,1.363265,2.6542961827654503,61.69268071733721,0.0887097922663419,0.130513321450954,0.0165572534736435,4.24321783989748,1664.4565758967
40,01-01-01-03-02,SN,0.733654,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
41,01-01-01-02-07,SN,0.574771,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
42,01-01-02-04-03,SN,0.394675,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
43,01-01-02-02-04,SN,0.530318,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
44,01-01-03-02-03,SN,0.62677,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
45,01-01-01-03-03,SN,0.631864,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
46,01-01-01-02-08,SN,0.574771,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
47,01-01-01-02-09,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
48,01-01-03-02-04,SN,0.725368,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
49,01-01-02-03-04,SN,0.51694,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
50,01-01-01-01-10,SN,2.209069,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
51,01-01-01-03-04,SN,0.479652,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
52,01-01-01-03-05,SN,0.387097,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
53,01-01-02-02-05,SN,0.660029,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
54,01-01-02-01-06,SN,0.702316,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
55,01-01-03-03-02,SN,0.465407,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
56,01-01-01-02-10,SN,1.51163,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
57,01-01-03-03-03,SN,0.532695,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
58,01-01-03-03-04,SN,0.387097,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
59,01-01-01-04-02,SN,0.535255,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
60,01-01-03-04-02,SN,0.488099,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
