,cut,direction,obj,Al2O3,Fe,Mn,P,S,SiO2,tonnage
0,01-01-01-01-01,SN,1.3333333333333326,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
1,01-01-01-02-01,SN,1.065248,2.3592246724639,61.5178162286964,0.116379799155496,0.0782721021519445,0.0260692555027927,3.65361285606524,1568.16253201799
2,01-01-01-01-02,SN,0.703127,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
3,01-01-01-01-03,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
4,01-01-01-01-04,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
5,01-01-01-03-01,SN,0.871458,2.35386301065751,61.4897839041652,0.114337888428197,0.0789170204987782,0.0239515971526089,4.109253352843241,3038.811079176229
6,01-01-01-04-01,SN,0.687247,2.35293466678094,61.4051259390726,0.105866055462022,0.0769542694449907,0.0222352520048032,4.3546211152152,4971.811008087821
7,01-01-01-02-02,SN,0.531008,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
8,01-01-01-02-03,SN,0.5,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
9,01-01-01-03-02,SN,0.418106,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
10,01-01-01-02-04,SN,0.530321,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
11,01-01-01-03-03,SN,0.418106,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
12,01-01-04-01-01,SN,4.605242,2.7411110353095496,61.7085376458031,0.0672976756146027,0.13134526231359,0.0146585114313877,4.31399178787521,490.429040952256
13,01-01-03-01-01,SN,2.567788,2.2846148433509903,62.4871952008494,0.0961147317679018,0.117892264709406,0.0185229687195104,3.83570795638111,486.044432726873
14,01-01-01-04-02,SN,0.528222,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
15,01-01-03-02-01,SN,1.66965,2.21175675073436,62.615259485648004,0.101388955903044,0.115198592193104,0.0170072923591019,3.87106398810021,1649.5757483272305
16,01-01-02-01-01,SN,2.713688,2.64377460067266,63.062549893856,0.032608910817055,0.101828463627706,0.0204813108274598,3.92563591326802,472.57382165281194
17,01-01-01-01-05,SN,0.945422,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
18,01-01-01-01-06,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
19,01-01-01-04-03,SN,0.388679,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
20,01-01-03-01-02,SN,1.433145,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
21,01-01-02-01-02,SN,1.075494,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
22,01-01-01-02-05,SN,0.648855,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
23,01-01-01-03-04,SN,0.418106,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
24,01-01-01-03-05,SN,0.387097,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
25,01-01-01-01-07,SN,0.774433,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
26,01-01-01-01-08,SN,0.666667,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
27,01-01-03-03-01,SN,1.022927,2.11602265729193,62.7806284079793,0.0985325711653734,0.114241522044251,0.0159106213460679,3.89762597684591,3196.57494526831
28,01-01-01-01-09,SN,1.262255,2.3309357933067303,61.549541866769715,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,1434.9501368417905
29,01-01-03-01-03,SN,1.163537,2.2871124178690097,62.49658882067899,0.0981307736026503,0.117070640348104,0.0185437308688334,3.8545746260125,1509.44745679328
30,01-01-01-04-04,SN,0.528222,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
31,01-01-02-01-03,SN,1.080235,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
32,01-01-01-01-10,SN,1.874393,2.3217705077391897,61.587030335982504,0.111392684715712,0.0784325245984163,0.0271872219923874,3.32341608067602,462.056179639603
33,01-01-01-04-05,SN,0.404184,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
34,01-01-01-02-06,SN,0.531008,2.35766536529312,61.446086152879,0.120401468892881,0.0771793944993776,0.0249471304613122,3.77406272158604,3374.54911423628
35,01-01-03-02-02,SN,0.739454,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
